API,Name,Well Type - Aliased,Status - Aliased,Wellbore Profile - Aliased,First Production Date,CUM Oil,CUM Gas,CUM Water,Latitude,Longitude,Lateral Length,Spud Date
42-301-33118-0000,ST. LUCIA 76 2833 31H,OIL,Active,HORIZONTAL,2/1/2019,116429,195897,1488868,31.9426136,-103.5591202,10957.95605,12/28/2017
42-301-33165-0000,GOODNIGHT UNIT 2H,OIL,Active,HORIZONTAL,5/1/2018,259996,517631,658605,31.91130066,-103.5206299,9954.55957,1/24/2018
42-301-33168-0000,GOODNIGHT UNIT 5H,OIL,Active,HORIZONTAL,6/1/2018,349164,660500.7,407932,31.91129684,-103.5163956,9961.183594,1/16/2018
42-301-33265-0000,WRANGLER A UNIT 2H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.91369629,-103.5161438,9819.929688,11/9/2018
42-301-33262-0000,WRANGLER A UNIT 1H,CANCELLED PERMIT,Approved Permit,HORIZONTAL,,,,,31.91369629,-103.5160294,9825.00293,11/30/2018
42-301-33164-0000,GOODNIGHT UNIT 1H,OIL,Active,HORIZONTAL,5/1/2018,198637,360667,639209,31.9111824,-103.5202789,9957.366211,1/24/2018
42-301-33357-0000,INVICTUS 29-48 1H 1H,PERMIT,Approved Permit,HORIZONTAL,1/1/2019,42063,62617,0,31.73635101,-103.3853836,4790.977539,2/9/2018
42-301-33353-0000,UNIVERSITY 19 PW UNIT 1903H,OIL,Active,HORIZONTAL,5/1/2018,42407,99777,215904,31.67349243,-103.3946152,11368.58105,1/6/2018
42-301-33364-0000,INVICTUS 29-48 3H 3H,PERMIT,Approved Permit,HORIZONTAL,1/1/2019,47171,69936,0,31.73629951,-103.3855667,4845.987793,12/15/2017
42-301-33356-0000,UNIVERSITY 19 PW UNIT,OIL,Active,HORIZONTAL,5/1/2018,181443,207889,961684,31.67354202,-103.3945923,9347.086914,1/10/2018
42-301-33376-0000,SEQUOIA 55-1-14 UNIT 3H 1H,PERMIT,Approved Permit,HORIZONTAL,1/1/2019,18410,57685,0,31.95744514,-103.7235565,8314.473633,11/23/2018
42-301-33443-0000,LUDEMAN I WC 1411H,PERMIT,Active,HORIZONTAL,6/1/2018,76889,116179.625,765743,31.931633,-103.4269638,7274.502441,1/1/2018
42-301-33400-0000,APOLLO 7 8H,PERMIT,Active,HORIZONTAL,12/1/2018,89653,233008,0,31.9996109,-103.6427078,5122.598633,5/27/2018
42-301-33442-0000,LUDEMAN I WC 1410H,OIL,Active,HORIZONTAL,6/1/2018,144450.469,241759.422,820609,31.93166542,-103.4268417,7267.532227,12/30/2017
42-301-33405-0000,JONES SWD 1,INJECTION,Active,VERTICAL,,,,,31.77903366,-103.6327744,,5/11/2018
42-301-33398-0000,APOLLO 7 6H,PERMIT,Active,HORIZONTAL,12/1/2018,98828,259080,0,31.99961472,-103.6409912,5113.549316,5/29/2018
42-301-33431-0000,COTTONWOOD 55-1-14 UNIT 2HR,OIL,Active,HORIZONTAL,3/1/2018,183799,918513,1688473,31.95742035,-103.7291641,8334.335938,12/1/2017
42-301-33462-0000,YMC 9 2H,OIL,Active,HORIZONTAL,9/1/2018,87376,499813,411598,31.97031975,-103.8684921,5340.688477,1/14/2018
42-301-33399-0000,APOLLO 7 7H,PERMIT,Active,HORIZONTAL,12/1/2018,88333,241734,0,31.9996109,-103.6425934,5110.911621,5/25/2018
42-301-33397-0000,APOLLO 7 5H,PERMIT,Active,HORIZONTAL,12/1/2018,76652,209883,0,31.99961472,-103.6408768,5119.667969,8/31/2018
42-301-33481-0000,MENTONE BRINE WELL 1,STORAGE,Active,VERTICAL,,,,,31.73611259,-103.5513763,,2/7/2018
42-301-33492-0000,CHINOOK 55-1-7 UNIT 2H,PERMIT,Active,HORIZONTAL,,,,,31.97754097,-103.7943573,7704.328125,5/12/2018
42-301-33521-0000,BONNETHEAD 53-2-15 LOV 1H,PERMIT,Active,HORIZONTAL,10/1/2018,47622,95494,151200,31.85216713,-103.5344772,4550.721191,7/9/2018
42-301-33491-0000,CYCLONE 54-2-15 UNIT 1H,OIL,Active,HORIZONTAL,7/1/2018,71381,311084,801403,31.85304451,-103.6406174,7529.925293,5/12/2018
42-301-33564-0000,STINGRAY 53-2-25 LOV UNIT 2H,PERMIT,Active,HORIZONTAL,,,,,31.81126785,-103.5013962,4714.466309,3/28/2018
42-301-33520-0000,VENETIAN WAY 55-2-39 1H,PERMIT,Active,HORIZONTAL,,,,,31.78245926,-103.7534332,4854.874023,7/9/2018
42-301-33531-0000,MURUS 55-2-30 LOV UNIT SW 1H,OIL,Active,HORIZONTAL,6/1/2018,117505,444012,137861,31.81779671,-103.801445,7789.063965,2/11/2018
42-301-33605-0000,WHEAT TRUST C27-4 LOV 2H,OIL,Active,HORIZONTAL,,,,,31.7403717,-103.4946747,4156.487305,3/28/2018
42-301-33563-0000,STINGRAY 53-2-25 LOV UNIT 1H,PERMIT,Active,HORIZONTAL,,,,,31.8112793,-103.5014572,4788.987305,4/4/2018
42-301-33615-0000,RUDD DRAW 26-21 2H,PERMIT,Active,HORIZONTAL,1/1/2019,172729,334240,766071,31.85012436,-103.4653549,8346.523438,4/11/2018
42-301-33565-0000,STINGRAY 53-2-25 LOV UNIT 3H,PERMIT,Active,HORIZONTAL,,,,,31.81125832,-103.5013351,4722.244141,3/28/2018
42-301-33580-0000,BOXWOOD 55-1-12 UNIT 2H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.97813988,-103.7036896,7923.862793,1/4/2019
42-301-33581-0000,BOXWOOD 55-1-12 UNIT 3H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.97814178,-103.7037811,7902.23584,1/18/2019
42-301-33582-0000,BOXWOOD 55-1-12 UNIT 4H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.97814178,-103.7038803,7930.880371,12/14/2018
42-301-33566-0000,STINGRAY 53-2-25 LOV UNIT 4H,PERMIT,Active,HORIZONTAL,,,,,31.81124687,-103.5012741,4817.944336,3/25/2018
42-301-33616-0000,RUDD DRAW 26-21 4H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.8500576,-103.4655991,8353.776367,8/3/2018
42-301-33574-0000,HANGING H RANCH SWD 1,INJECTION,Active,VERTICAL,,,,,31.96655655,-103.7412872,,4/15/2018
42-301-33614-0000,RUDD DRAW 26-21 3H,PERMIT,Approved Permit,HORIZONTAL,1/1/2019,60993,122829,0,31.85009003,-103.465477,8341.298828,4/15/2018
42-301-33532-0000,MURUS 55-2-30 LOV UNIT NW 2H,OIL,Active,HORIZONTAL,6/1/2018,124400,433880,515577,31.81779671,-103.8015137,5209.728516,2/20/2018
42-301-33657-0000,PRICELESS C26-1 UNIT C 3H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.83058739,-103.4309235,10226.47656,4/26/2019
42-301-33631-0000,LINK VJ RANCH 23-11 D,OIL,Active,HORIZONTAL,9/1/2018,165527,558135,0,31.83196259,-103.7302704,10691.05469,3/2/2018
42-301-33666-0000,CHALLENGER FORTRESS SWD 7-4 4,PERMIT,Active,VERTICAL,,,,,31.98051453,-103.5830078,,3/1/2018
42-301-33673-0000,UNIVERSITY NECHES 19-23 1D,INJECTION,Active,DIRECTIONAL,,,,,31.66919136,-103.3984528,326,4/24/2018
42-301-33635-0000,LINK VJ RANCH 14-23 H 8H,OIL,Active,HORIZONTAL,6/1/2018,144937,659212,952750,31.85521317,-103.7207031,8536.035156,3/14/2018
42-301-33658-0000,PRICELESS C26-1 UNIT C 4H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.83056259,-103.431015,10236.36133,5/17/2019
42-301-33652-0000,STATE 48 10,OIL,Active,VERTICAL,11/1/2018,42037,80146,0,31.77096748,-103.5010452,1419,2/3/2018
42-301-33655-0000,PRICELESS C26-1 UNIT C 2H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.83061218,-103.4308319,10227.16309,4/19/2019
42-301-33632-0000,LINK VJ RANCH 14-23 E 5H,OIL,Active,HORIZONTAL,9/1/2018,146129,501891,0,31.85494995,-103.7257843,8446.125,3/2/2018
42-301-33667-0000,CHALLENGER FORTRESS SWD 7-5 5,PERMIT,Active,VERTICAL,,,,,31.97324371,-103.5824814,,3/18/2018
42-301-33634-0000,LINK VJ RANCH 14-23 G 7H,OIL,Active,HORIZONTAL,9/1/2018,153517,514316,0,31.85521317,-103.7208176,8556.186523,3/11/2018
42-301-33630-0000,LINK VJ RANCH 23-11 C,OIL,Active,HORIZONTAL,8/1/2018,131732,440752,0,31.83196259,-103.7303848,10684.19141,2/28/2018
42-301-33633-0000,LINK VJ RANCH 14-23 F 6H,OIL,Active,HORIZONTAL,9/1/2018,148407,484021,0,31.85494995,-103.7256699,8440.376953,3/9/2018
42-301-33699-0000,SILVERTIP 76-7 UNIT A 5H,OIL,Active,HORIZONTAL,10/1/2018,291553.031,656834,0,31.9685173,-103.5953674,11467.52246,2/4/2018
42-301-33710-0000,RUDD DRAW 26-3 3H,PERMIT,Active,HORIZONTAL,10/1/2018,128635,225084,2022675,31.87004471,-103.4491119,5480.19043,2/27/2018
42-301-33708-0000,SASSAFRAS 55-1-24 UNIT 2H,OIL,Active,HORIZONTAL,8/1/2018,117014,490992,714621,31.95744896,-103.7165909,10985.30664,5/1/2018
42-301-33711-0000,RIPPIN WRANGLER C26-19 5H,OIL,Active,HORIZONTAL,3/1/2018,53115,77587,227113,31.83898354,-103.4484253,5670.389648,12/22/2017
42-301-33697-0000,UNIVERSITY NOLAN 19-23 1D,DISPOSAL,Active,VERTICAL,,,,,31.66059685,-103.382637,,5/18/2018
42-301-33703-0000,SILVERTIP 76-7 UNIT B 2H,PERMIT,Active,HORIZONTAL,12/1/2018,192061,397193,412207,31.9680233,-103.5908203,11651.25586,1/15/2018
42-301-33712-0000,RUDD DRAW 26-3 4H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.87007904,-103.4489899,5477.11377,7/27/2018
42-301-33701-0000,SILVERTIP 76-7 UNIT A 10H,PERMIT,Active,HORIZONTAL,11/1/2018,215128,455038,529423,31.9680233,-103.5909195,11640.1416,1/28/2018
42-301-33706-0000,UNIVERSITY RED 20-8 1D,INJECTION,Active,DIRECTIONAL,,,,,31.71784592,-103.3438416,500,8/30/2018
42-301-33700-0000,SILVERTIP 76-7 UNIT A 6H,PERMIT,Active,HORIZONTAL,12/1/2018,56819,177269,139829,31.9685173,-103.5952682,11466.73438,1/28/2018
42-301-33698-0000,SILVERTIP 76-7 UNIT A 4H,OIL,Active,HORIZONTAL,12/1/2018,70035,148111,274867,31.9685173,-103.595459,11459.25586,1/1/2018
42-301-33704-0000,SILVERTIP 76-7 UNIT B 3H,PERMIT,Active,HORIZONTAL,12/1/2018,129449,242796,277827,31.9680233,-103.5907211,11657.80762,12/31/2017
42-301-33705-0000,UNIVERSITY TRINITY 20-17 1D,INJECTION,Active,HORIZONTAL,,,,,31.70824623,-103.3433228,1394,8/14/2018
42-301-33734-0000,MESQUITE HEAT 28-41 UNIT 4H,PERMIT,OPEN SHUT IN,HORIZONTAL,,,,,31.76191139,-103.3721619,7744.701172,1/4/2018
42-301-33730-0000,ZUMA 3 B203CN,OIL,Active,HORIZONTAL,5/1/2018,98209,491768,335655,31.99947357,-103.9500198,4929.478027,2/2/2018
42-301-33740-0000,SWEET MARILYN 57-T1-12 W108H,PERMIT,Active,HORIZONTAL,5/1/2018,129374,622407,926779,31.97282982,-103.9111633,4679.161621,12/31/2017
42-301-33735-0000,RUDD DRAW 26-2 8H,PERMIT,Active,HORIZONTAL,8/1/2018,82568,181296.438,218284,31.87231636,-103.4489441,5716.52832,3/12/2018
42-301-33732-0000,MESQUITE HEAT 28-41 UNIT 3H,PERMIT,OPEN SHUT IN,HORIZONTAL,,,,,31.76198959,-103.3721924,7690.536133,12/24/2017
42-301-33733-0000,RUDD DRAW 26-2 7H,PERMIT,Active,HORIZONTAL,8/1/2018,82475,181247,1205465,31.87228394,-103.4490662,5709.908203,3/14/2018
42-301-33739-0000,STATE-JUDGE 48-3 WS 1H,OIL,Active,HORIZONTAL,1/1/2019,27808,51903,0,31.77993011,-103.5119095,10273.74023,5/17/2018
42-301-33746-0000,ZUMA 3 W202CN,PERMIT,Active,HORIZONTAL,,,,,31.99947357,-103.949852,4923.080566,12/30/2017
42-301-33737-0000,TAYLOR DC26-17 4H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.89635849,-103.4688034,7772.035156,8/17/2018
42-301-33731-0000,ZUMA 3 W101CN,OIL,Active,HORIZONTAL,5/1/2018,194158,1677756,939255,31.99947357,-103.9496918,4923.068848,12/7/2017
42-301-33677-0000,WOLF 80-TTT-B33-WF SA 207H,OIL,Active,HORIZONTAL,4/1/2018,209435,872453,0,31.68538094,-103.6115952,6483.11084,2/5/2018
42-301-33743-0000,TAYLOR EC26-17 5H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.89632416,-103.4689255,7762.665527,9/14/2018
42-301-33678-0000,WIGGINS 1-48 UNIT 1H 1H,PERMIT,Approved Permit,HORIZONTAL,11/1/2018,44312,85361,0,31.68211365,-103.4753876,7099.833496,8/17/2018
42-301-33725-0000,BLACKTIP 1-42 UNIT 10H,PERMIT,OPEN SHUT IN,HORIZONTAL,,,,,31.67875671,-103.4648361,5000.924316,1/11/2018
42-301-33750-0000,BING 54-2-36 LOV W UNIT 1H,PERMIT,Active,HORIZONTAL,,,,,31.79773521,-103.614769,9707.271484,4/11/2018
42-301-33724-0000,BRUNSON F 1323H,OIL,Active,HORIZONTAL,6/1/2018,114365,175473,627741,31.93709755,-103.4898834,5794.286133,1/11/2018
42-301-33742-0000,STATE-JUDGE 48-3 WS III 3H,PERMIT,OPEN SHUT IN,HORIZONTAL,1/1/2019,1338,3725,0,31.78000259,-103.5055161,10348.11328,2/25/2018
42-301-33747-0000,STATE-JUDGE 48-3 WS IV 4H,PERMIT,OPEN SHUT IN,HORIZONTAL,1/1/2019,114,214,0,31.78000069,-103.5044479,10273.53906,2/24/2018
42-301-33753-0000,POPLAR 55-1-24 UNIT 1H,OIL,Active,HORIZONTAL,4/1/2018,16138,438036,97730,31.95739555,-103.7023926,10964.1748,12/21/2017
42-301-33748-0000,STATE-JUDGE 48-3 WS V 5H,OIL,Active,HORIZONTAL,2/1/2019,2092,2432,0,31.78001022,-103.5053558,10292.33984,2/22/2018
42-301-33741-0000,STATE-JUDGE 48-3 WS II 2H,OIL,Active,HORIZONTAL,2/1/2019,10916,18369,0,31.77993393,-103.5118332,10275.26758,5/18/2018
42-301-33779-0000,ST JOHN 76 2734 33H,PERMIT,OPEN SHUT IN,HORIZONTAL,,,,,31.9401722,-103.5356979,10074.49902,9/11/2018
42-301-33790-0000,MUSTANG 28-21 UNIT 2H,OIL,Active,HORIZONTAL,6/1/2018,85596,109979,538079,31.81805801,-103.3645782,10924.38281,2/18/2018
42-301-33756-0000,Z&T 42 E006,OIL,Active,HORIZONTAL,4/1/2018,156631,436462,531806,31.91200066,-103.6909866,5076.924805,12/19/2017
42-301-33801-0000,TIGER 55-2-12 LOV 3H,PERMIT,OPEN SHUT IN,HORIZONTAL,,,,,31.85271645,-103.7056122,5689.572754,6/19/2018
42-301-33796-0000,LINK-VJ RANCH 55-2-16 LOV W 2H,PERMIT,Active,HORIZONTAL,,,,,31.84113312,-103.765831,9915.575195,3/10/2018
42-301-33785-0000,BOYD 2604 SWD 1,PERMIT,Active,VERTICAL,,,,,31.89034653,-103.4528885,,3/18/2018
42-301-33807-0000,MINOT 75-8 LOV 1H,PERMIT,Active,HORIZONTAL,9/1/2018,41582,67203,192996,31.89453506,-103.4100266,5402.114258,4/23/2018
42-301-33816-0000,HAMMERHEAD 54-1-48 1H,PERMIT,Active,HORIZONTAL,10/1/2018,98326,195632,334126,31.8990345,-103.6147537,5657.351563,1/12/2018
42-301-33818-0000,APC 54-1-18 1D,INJECTION,Shut-In UIC,VERTICAL,,,,,31.96634293,-103.6982651,234,5/17/2018
42-301-33755-0000,STATE PATHFINDER 7 38H,OIL,Active,HORIZONTAL,2/1/2018,58924,207555,508617,31.99954414,-103.6289902,5162.598145,12/27/2017
42-301-33792-0000,Z&T 20 D001,OIL,Active,HORIZONTAL,5/1/2018,118071.031,289098.9,817637,31.95575333,-103.6771393,5075.600098,1/8/2018
42-301-33776-0000,ST JOHN 76 2734 23H,PERMIT,OPEN SHUT IN,HORIZONTAL,11/1/2018,2052,1814,0,31.9401722,-103.5358887,10073.54688,9/29/2018
42-301-33802-0000,TIGER 55-2-12 LOV 4H,PERMIT,OPEN SHUT IN,HORIZONTAL,,,,,31.85276985,-103.7056122,5769.165039,6/14/2018
42-301-33800-0000,TIGER 55-2-12 LOV 2H,PERMIT,Active,HORIZONTAL,,,,,31.85266113,-103.7056122,5684.150879,6/19/2018
42-301-33812-0000,LINDSAY 10-3I 2SR,OIL,OPEN SHUT IN,HORIZONTAL,8/1/2018,19223,81770,0,31.9996357,-103.7457809,7360,12/27/2017
42-301-33774-0000,ST JOHN 76 2734 11H,PERMIT,OPEN SHUT IN,HORIZONTAL,11/1/2018,1620,1530,0,31.94104195,-103.5335999,10136.28125,7/12/2018
42-301-33759-0000,Z&T 42 G009,OIL,Active,HORIZONTAL,4/1/2018,156690,436433,475852,31.91200256,-103.6856689,5070.583496,1/25/2018
42-301-33789-0000,ST JOHN 76 2734 34H,PERMIT,OPEN SHUT IN,HORIZONTAL,10/1/2018,6340,5920,0,31.9401741,-103.5378265,10075.15918,7/1/2018
42-301-33768-0000,ST KITTS 76 2833 3H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.94251823,-103.5535507,10684.90723,4/12/2019
42-301-33794-0000,Z&T 20 C001,OIL,Active,HORIZONTAL,6/1/2018,81058.66,298610.3,425048,31.95575333,-103.6772461,5069.500977,1/9/2018
42-301-33795-0000,SEQUOIA 55-1-14 UNIT 2H,PERMIT,Active,HORIZONTAL,12/1/2018,32770,140175,0,31.95744514,-103.7236481,10184.52051,3/23/2018
42-301-33799-0000,TIGER 55-2-12 LOV 1H,PERMIT,Active,HORIZONTAL,,,,,31.85260582,-103.7056122,5753.625488,6/29/2018
42-301-33758-0000,Z&T 42 F005,OIL,Active,HORIZONTAL,4/1/2018,156687,436446,612014,31.91200066,-103.6909103,5111.582031,1/4/2018
42-301-33783-0000,BOYD 2501 SWD 1,DISPOSAL,Active,VERTICAL,,,,,31.92229271,-103.396698,,3/5/2018
42-301-33808-0000,Z&T 20 X001,INJECTION,Active,VERTICAL,,,,,31.94630051,-103.6748505,5441,4/23/2018
42-301-33814-0000,CBR 9-4B 2H,OIL,Active,HORIZONTAL,9/1/2018,152736,969410,0,31.96998787,-103.8684998,10907.68945,1/10/2018
42-301-33760-0000,ST KITTS 76 2833 2H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.94250298,-103.5518494,10789.39551,5/25/2018
42-301-33793-0000,Z&T 20 B002,OIL,Active,HORIZONTAL,6/1/2018,88418.88,295282.3,216910,31.95575333,-103.6773605,5107.068848,1/8/2018
42-301-33813-0000,KENTZEL STATE 42 W101CN,OIL,Active,HORIZONTAL,8/1/2018,126928,540634,661135,31.91204643,-103.7985611,4922.233887,3/27/2018
42-301-33782-0000,BOYD 7527 SWD 1,INJECTION,Active,VERTICAL,,,,,31.86844444,-103.4327698,,2/19/2018
42-301-33819-0000,APC 55-1-24 1D,INJECTION,Shut-In UIC,VERTICAL,,,,,31.9543972,-103.7093887,1957,7/19/2018
42-301-33797-0000,LINK-VJ RANCH 55-2-16 LOV 3H,PERMIT,Active,HORIZONTAL,,,,,31.84113312,-103.7657623,9910.451172,3/14/2018
42-301-33772-0000,ST JOHN 76 2734 1H,PERMIT,OPEN SHUT IN,HORIZONTAL,11/1/2018,432,749,0,31.94104195,-103.5316238,10133.99414,8/29/2018
42-301-33784-0000,BOYD 2510 SWD 1,PERMIT,Active,VERTICAL,,,,,31.94659424,-103.4265518,,3/18/2018
42-301-33791-0000,MUSTANG 28-21 UNIT 3H,OIL,Active,HORIZONTAL,9/1/2018,84602,94471,657377,31.81803322,-103.3646698,10924.70605,3/2/2018
42-301-33806-0000,TIGER 55-2-12 LOV 8H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.8527832,-103.7157974,5680.005859,1/4/2019
42-301-33762-0000,ST KITTS 76 2833 11H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.94250298,-103.5516586,10699.51953,4/27/2018
42-301-33810-0000,EBONY 55-1-40 UNIT 3H,OIL,Active,HORIZONTAL,5/1/2018,60001,253523,270247,31.91368484,-103.7671127,8317.161133,3/8/2018
42-301-33765-0000,ST KITTS 76 2833 31H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.94250298,-103.5515594,10697.63379,7/13/2018
42-301-33809-0000,Z&T 32 X001,DISPOSAL,Active,VERTICAL,,,,,31.92476082,-103.6769638,,5/18/2018
42-301-33771-0000,ST JOHN 76 2734 31H,PERMIT,OPEN SHUT IN,HORIZONTAL,11/1/2018,2484,2098,0,31.94025421,-103.5317001,10135.14746,9/16/2018
42-301-33763-0000,ST KITTS 76 2833 1H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.94246483,-103.5491562,10668.45605,6/7/2019
42-301-33815-0000,CBR 9-4A 1H,OIL,Active,HORIZONTAL,9/1/2018,185966,1139091,0,31.97005653,-103.8684921,10844.78809,1/12/2018
42-301-33749-0000,GELLER 54-2-37 LOV UNIT 1H,PERMIT,Active,HORIZONTAL,,,,,31.79684067,-103.6127548,10808.51758,4/18/2018
42-301-33764-0000,WOLF 80-TTT-B33-WF SA 208H,OIL,Active,HORIZONTAL,11/1/2018,75520,742724,0,31.68533516,-103.6115189,7403.73877,7/15/2018
42-301-33775-0000,ST JOHN 76 2734 32H,PERMIT,OPEN SHUT IN,HORIZONTAL,,,,,31.94017029,-103.5335693,10073.76855,7/29/2018
42-301-33780-0000,ST JOHN 76 2734 12H,PERMIT,OPEN SHUT IN,HORIZONTAL,9/1/2018,13291,6718,0,31.9401741,-103.5379181,10074.13574,8/3/2018
42-301-33606-0000,CBR 9-4M 13H,OIL,Active,HORIZONTAL,9/1/2018,171539,850433,0,31.97019577,-103.8684921,10780.64746,1/6/2018
42-301-33485-0000,CHECKERS 14 1H,OIL,Active,HORIZONTAL,4/1/2018,198291,406663,1110936,31.80067253,-103.4282455,4842,2/3/2018
42-301-33151-0000,ST. LUCIA 76 2833 2H,,Active,HORIZONTAL,12/1/2018,206621,266594,622428,31.94213104,-103.5625458,10780.20215,12/19/2017
42-301-33817-0000,LARSON 04-TTT-B02 202H,OIL,Active,HORIZONTAL,5/1/2018,108244,459801,834471,31.75085258,-103.6046219,7536.233887,1/26/2018
42-301-33830-0000,AGGIE UNIT 75-67-66 601H,OIL,Active,HORIZONTAL,7/1/2018,122201,668841,743742,31.66691017,-103.5793076,10144.7666,3/1/2018
42-301-33850-0000,QUANAH PARKER A UNIT 8H,OIL,Active,HORIZONTAL,5/1/2018,175495,270119,246376,31.96389008,-103.4467316,10277.53906,2/13/2018
42-301-33853-0000,QUANAH PARKER A UNIT 11H,OIL,Active,HORIZONTAL,5/1/2018,234910,340383.1,1144185,31.96304512,-103.450058,10256.68555,2/11/2018
42-301-33841-0000,CBR 9-4C 3H,OIL,Active,HORIZONTAL,9/1/2018,259211,1620206,1206816,31.97019768,-103.8610992,10794.9043,2/9/2018
42-301-33847-0000,LIZZY 26 1H,OIL,Active,HORIZONTAL,6/1/2018,105930,131095,639637,31.79608154,-103.3335953,4873.246582,2/5/2018
42-301-33827-0000,YELLOWJACKET UL UNIT 19-3 13H,OIL,Active,HORIZONTAL,7/1/2018,44032,63738,303908,31.73910332,-103.4268799,7521.925293,3/17/2018
42-301-33828-0000,CORSAIR C26-20 4H,OIL,Active,HORIZONTAL,7/1/2018,24843,44335,143667,31.83579254,-103.4685364,4855.73584,3/3/2018
42-301-33833-0000,RUDD DRAW 29-3 11H,PERMIT,Approved Permit,HORIZONTAL,,,,,31.82078171,-103.4606934,5359.32666,2/8/2019
42-301-33829-0000,KENTZEL STATE 42 W102CN,,Active,HORIZONTAL,8/1/2018,144278,610630,547794,31.91204643,-103.7984009,4924.187988,3/3/2018
42-301-33834-0000,RUDD DRAW 29-3 12H,OIL,Approved Permit,HORIZONTAL,,,,,31.82081413,-103.4605713,5356.525391,2/22/2019
42-301-33843-0000,CBR 9-4E 5H,OIL,Active,HORIZONTAL,9/1/2018,154024,961639,0,31.97006035,-103.8610992,10823.2334,2/14/2018
42-301-33852-0000,QUANAH PARKER A UNIT 10H,OIL,Active,HORIZONTAL,5/1/2018,141429.625,215267,590045,31.96295738,-103.4500275,10287.45117,2/10/2018
42-301-33152-0000,ST. LUCIA 76 2833 32H,,OPEN SHUT IN,HORIZONTAL,11/1/2018,194710,243818,786236,31.94213104,-103.5626373,10782.51855,12/19/2017
42-301-33826-0000,YELLOWJACKET UL UNIT 19-3 12H,OIL,Active,HORIZONTAL,7/1/2018,95540,144444,649281,31.73907471,-103.4269714,7503.224121,3/26/2018
