API,Operator,ID,WellType,WellName,OrderNumbers,Date,County,LAT,LONG,PSI,BBLS
3505124248,OVERFLOW ENERGY LLC,22383,CDW,MINCO SWD,679618,6/26/2018,GRADY,35.3129800,-97.8843000,"1,480","19,500"
3505124271,S & S STAR OPERATING LLC,23996,CDW,OKIEJACKS SWD,1807760047,4/11/2018,GRADY,35.2030300,-97.9413000,"1,500","19,500"
3505124314,KYBENCO DISPOSALS LLC,23518,CDW,MIDDLEBERG SWD,1808300010,4/3/2018,GRADY,35.0924340,-97.7348960,"1,810","19,990"
3505124336,SUPER HEATERS LLC,23795,CDW,BLANCHARD 1-32 SWD,1811610005,6/27/2018,GRADY,35.0413500,-97.7423200,"2,000","19,990"
3505124348,OVERFLOW ENERGY LLC,22383,CDW,SANDROCK ROAD SWD,1811700009,6/27/2018,GRADY,35.2040700,-97.7830300,"2,000","19,999"
3505124355,COBALT ENVIRONMENTAL SOLUTIONS LLC,23434,CDW,DIBBLE KENT CLIFT SWD,1809320005,5/29/2018,GRADY,35.0432300,-97.7828600,"1,950","19,990"
3505135389,MID-CON ENERGY OPERATING LLC,23271,2R,JOHN MUTZ ESTATE ,1900560185,8/17/2018,GRADY,34.8935720,-97.8972000,"2,500","7,500"
3505320652,WILDHORSE OPERATING COMPANY,20720,2D,GURLEY,1811220028,6/6/2018,GRANT,36.8425610,-97.8811200,400,500
3505920810,BEREXCO LLC,22550,2R,CAL-RAY,1812780002,9/17/2018,HARMON,36.8667640,-99.5071400,"1,200","2,000"
3506302865,HOMER OIL CO LLC,21443,2D,GOUGE,1506220029,11/14/2018,HUGHES,35.0966683,-96.3875043,0,300
3506321929,CANYON CREEK ENERGY OPERATING LLC,23443,2D,OLETA KING,1902220021,9/27/2018,HUGHES,34.9441667,-96.2597222,750,"1,000"
3506322657,ATCHLEY RESOURCES INC,20266,2R,WARREN,1902830014,10/31/2018,HUGHES,35.1166600,-96.4071600,"1,000",250
3506322912,R J EXPLORATION LLC,22656,2D,JAMES NIX ,672849,1/30/2018,HUGHES,34.9038889,-96.3272222,"1,885","2,000"
3506324556,WATERBRIDGE ARKOMA OPERATING LLC,24139,CDW,EDWARD SWD,676395,4/17/2018,HUGHES,35.0729974,-96.1043450,"2,890","30,000"
3506324723,ANTIOCH OPERATING LLC,23947,CDW,KELLER,681460,8/14/2018,HUGHES,35.1164982,-96.2110939,"2,000","19,500"
3506324783,CALYX ENERGY III LLC,23515,2D,GREASY CREEK,678166,5/22/2018,HUGHES,35.2202792,-96.0516679,"1,500","17,500"
3506324850,WATERBRIDGE ARKOMA OPERATING LLC,24139,CDW,GEORGE SWD,684225,10/2/2018,HUGHES,35.2598540,-96.0123480,"2,000","15,000"
3506324853,HUGHES DISPOSAL LLC,22798,CDW,HUGHES DISPOSAL,1903410049,11/20/2018,HUGHES,35.0988770,-96.4451180,"2,265","19,500"
3506324857,WATERBRIDGE ARKOMA OPERATING LLC,24139,CDW,HAGGARD,686495,11/8/2018,HUGHES,35.0881200,-96.3080300,"2,525","15,000"
3506324859,WATERBRIDGE ARKOMA OPERATING LLC,24139,CDW,WILLIAM ,686494,11/13/2018,HUGHES,35.0325600,-96.1820900,"2,825","15,000"
3506324867,WATERBRIDGE ARKOMA OPERATING LLC,24139,CDW,HARVEY,1906490016,2/8/2019,HUGHES,35.1442100,-96.2134700,"2,175","19,900"
3506324880,CALYX ENERGY III LLC,23515,CDW,WETUMKA,692052,2/26/2019,HUGHES,35.2144900,-96.1993300,"2,030","15,000"
3506721053,K S & S OIL COMPANY INC,20497,2R,RICK SKINNER,1904660005,11/26/2018,JEFFERSON,33.9451944,-97.7166666,0,"4,999"
3506721100,DEHART COMPANY (THE),11992,2R,HARRIS,1805790006,1/9/2018,JEFFERSON,34.2404960,-97.6426520,"1,178",999
3507123619,TWISTED OAK OPERATING LLC,22261,2R,GILLHAM,1808950136,3/23/2018,KAY,36.6279160,-97.0639400,500,"5,000"
3507124257,MAXIM ENERGY CORPORATION,18071,2D,LORI,1902210025,10/1/2018,KAY,36.7689000,-96.9837000,500,750
3507124433,K3 OIL & GAS OPERATING COMPANY,24093,2D,BOWLING,1904850022,12/12/2018,KAY,36.9551389,-96.8894722,750,"4,000"
3507124474,KODA OPERATING LLC,24242,2D,WHITE EAGLE SWD,1903180013,11/9/2018,KAY,36.6220438,-97.3896667,"2,431","15,000"
3507300208,CAPSTONE OILFIELD DISPOSAL SERVICE LLC,21455,CDW,POWELL,677255,5/3/2018,KINGFISHER,36.1176990,-97.9763000,"2,300","10,000"
3507324516,BLUE DOLPHIN PRODUCTION LLC,20881,2D,BARTON SWD,1807030034,10/2/2018,KINGFISHER,36.0343130,-97.9573400,"2,500","19,990"
3507324596,S & S STAR OPERATING LLC,23996,CDW,3-MILE,1807170008,3/6/2018,KINGFISHER,35.7980790,-97.9490510,"2,000","19,999"
3507324735,BLUE DOLPHIN PRODUCTION LLC,20881,CDW,BARTON  ,1807700007,10/3/2018,KINGFISHER,35.9254722,-97.8893611,"2,500","19,990"
3507324764,SK NEMAHA LLC,24221,2D,HLADIK,1807970096,3/6/2018,KINGFISHER,35.9426389,-98.2078056,"2,000","19,999"
3507324778,NEWFIELD EXPLORATION MID-CON INC,20944,2D,SUZANNE ,672252,1/18/2018,KINGFISHER,35.7285568,-98.1197631,"2,000","25,000"
3507324860,LAGOON WATER LOGISTICS LLC,24110,CDW,DOVER UNIT HOOVER SWD,1812250003,12/5/2018,KINGFISHER,36.0143000,-97.9246400,"1,650","19,990"
3507324962,HINKLE OIL & GAS INC,21639,2R,EAST HENNESSEY UNIT,1806670013,2/23/2018,KINGFISHER,36.0726308,-97.8761873,"2,500","15,000"
3507325015,CHOATE DISPOSAL SERVICES LLC,23594,CDW,CHOATE SWD ,1810600016,6/6/2018,KINGFISHER,36.0742330,-97.9245470,"1,750","19,990"
3507325317,HINKLE OIL & GAS INC,21639,2D,HORN SWD,1901990008,10/5/2018,KINGFISHER,35.9552500,-97.7642000,"3,000","19,990"
3507325538,RED HAWK DISPOSAL LLC,23666,CDW,REDHAWK SWD ,672537,1/23/2018,KINGFISHER,36.1197810,-97.9720270,"2,505","40,000"
3507325748,OKLAHOMA PRODUCED WATER SOLUTIONS LLC,24285,CDW,BIG GULP SWD,1905370018,1/2/2019,KINGFISHER,36.0072460,-97.8722783,"3,000","19,900"
3507325869,COTTONMOUTH SWD LLC,24157,2D,HORNED FROG SWD,1806670022,2/15/2018,KINGFISHER,36.0649795,-97.7989220,"3,900","19,900"
3507325902,SK NEMAHA LLC,24221,2D,HLADIK,1807540002,3/16/2018,KINGFISHER,36.1165780,-97.7093810,"1,050","19,999"
3507325917,S & S STAR OPERATING LLC,23996,CDW,SALT LICK SWD,1807260061,3/15/2018,KINGFISHER,35.8342020,-98.1798420,"1,650","19,999"
3507325918,E O K OPERATING LLC,23817,CDW,HAJEK SWD,1807760048,3/23/2018,KINGFISHER,36.1305480,-97.9083000,950,"19,500"
3507325930,HINKLE OIL & GAS INC,21639,2D,VORTEX SWD,1808530015,3/15/2018,KINGFISHER,35.7845800,-97.7730300,"3,000","19,900"
3507325975,OKLAHOMA PRODUCED WATER SOLUTIONS LLC,24285,CDW,CYCLONE SWD,1905230008,12/28/2018,KINGFISHER,36.1026090,-97.8500760,"3,000","19,900"
3507325981,COTTONMOUTH SWD LLC,24157,2D,MASSASAUGA SWD,1809980010,5/1/2018,KINGFISHER,36.1589957,-97.9087512,"2,590","19,900"
3507326019,OKLAHOMA PRODUCED WATER SOLUTIONS LLC,24285,CDW,WHIRLWIND SWD,1810710100,5/23/2018,KINGFISHER,35.8136130,-97.7295180,"3,000","19,900"
3507326047,OKLAHOMA PRODUCED WATER SOLUTIONS LLC,24285,2D,SWIRL SWD,1811790119,7/6/2018,KINGFISHER,35.8066970,-97.7971770,"3,000","19,900"
3507326080,OKLAHOMA PRODUCED WATER SOLUTIONS LLC,24285,2D,GYRE SWD,1812340008,8/6/2018,KINGFISHER,35.9010760,-97.8527620,"3,000","19,900"
3507326084,HINKLE OIL & GAS INC,21639,2D,MAELSTROM SWD,1812190001,7/20/2018,KINGFISHER,35.9119470,-97.8192150,"3,000","19,900"
3507326104,HINKLE OIL & GAS INC,21639,2D,SPIRAL SWD,1812840001,8/7/2018,KINGFISHER,35.7855930,-97.7280800,"3,000","19,900"
3507326128,OKLAHOMA PRODUCED WATER SOLUTIONS LLC,24285,2D,EDDY SWD,1900180122,8/28/2018,KINGFISHER,35.8843330,-97.7474790,"3,000","19,900"
3507326144,SK NEMAHA LLC,24221,2D,BRETT SWD,1902340018,9/21/2018,KINGFISHER,36.0700890,97.4455480,"2,000","19,999"
3507326195,COTTONMOUTH SWD LLC,24157,2D,TIMBER SWD,1901680024,10/4/2018,KINGFISHER,36.1002350,-98.1041284,"4,550","19,900"
3507326196,COTTONMOUTH SWD LLC,24157,2D,DIAMONDBACK SWD,1901680025,10/2/2018,KINGFISHER,36.1069356,-98.0139028,"4,810","19,900"
3507326207,COTTONMOUTH SWD LLC,24157,2D,COPPERHEAD SWD,1901680027,10/4/2018,KINGFISHER,36.0230421,-98.1738283,"4,845","19,900"
3507326210,COTTONMOUTH SWD LLC,24157,2D,PYGMY SWD,1901680026,9/17/2018,KINGFISHER,36.0586890,-97.7229952,"3,600","19,900"
3507501130,FULLSPIKE ENERGY LLC,23833,2D,BURTON,1508770003,1/17/2018,KIOWA,34.9559300,-98.9210600,0,280
3508100783,E2 OPERATING LLC,23901,2R,JAMES MURPHY,1812730021,8/13/2018,LINCOLN,35.6925000,-96.7193056,600,700
3508121664,E2 OPERATING LLC,23901,2R,JAMES MURPHY,1812410001,6/29/2018,LINCOLN,35.6943333,-96.7165833,"1,000",700
3508123366,ENERSOURCE PETROLEUM INC,12072,2R,CUNNINGHAM  ,673219,2/6/2018,LINCOLN,35.7562778,-96.9090833,500,"1,500"
3508123374,BLUE DOLPHIN PRODUCTION LLC,20881,2R,BETTY JEAN,1903620025,12/13/2018,LINCOLN,35.7685278,-96.8990555,"2,000","1,000"
3508123845,TERZAN ENERGY II LLC,24140,2D,EAST WELLSTON SWD,1900500032,9/28/2018,LINCOLN,35.6224118,-97.0158684,"2,000","19,999"
3508123947,TERZAN ENERGY II LLC,24140,2D,FIRE,1807520069,3/6/2018,LINCOLN,35.7257046,-96.9086424,700,"10,000"
3508124191,GILLHAM PAUL OIL COMPANY,18920,2D,JT,678584,5/31/2018,LINCOLN,35.4797841,-96.9413670,600,"4,800"
3508324122,WHITE STAR PETROLEUM LLC,23358,2D,FUXA 25-19N-4W,1812860014,7/16/2018,LOGAN,36.1001804,-97.5707500,"2,000","15,000"
3508520564,JONES L E OPERATING INC,19169,2D,NORTH PIKE SANDERS UNIT,1902950008,10/22/2018,LOVE,33.9784940,-97.3417010,"1,000","5,000"
3508521289,JONES L E OPERATING INC,19169,2RSI,NORTH PIKE SANDERS UNIT,1902560038,9/14/2018,LOVE,33.9751080,-97.3195060,0,"3,000"
3508521292,JONES L E OPERATING INC,19169,2RSI,NORTH PIKE SANDERS UNIT,1902830012,9/20/2018,LOVE,33.9807920,-97.3240140,0,"3,000"
3508720334,OKLAHOMA PRIME ENERGY LLC,23208,2R,ODELL,1806220019,1/22/2018,MCCLAIN,34.9590278,-96.9365556,"1,647",999
3508720348,OKLAHOMA PRIME ENERGY LLC,23208,2R,ODELL,1806220018,1/17/2018,MCCLAIN,34.9613100,-96.9344700,"1,616",999
3508721180,SC ENVIROMENTAL LLC,23700,CDW,HARMON,1807220020,4/26/2018,MCCLAIN,35.0399700,-97.6508400,"1,723","15,000"
3508722160,BLUE WATER SOLUTIONS LLC,23988,CDW,ROCKWOOD AVE SWD,1901470010,11/19/2018,MCCLAIN,34.9416010,-97.3588890,"1,675","19,900"
3508735602,ALSUP 1-19 LLC,24255,CDW,ALSUP SWD,1902630104,11/14/2018,MCCLAIN,34.9840210,-97.5587800,"1,500","19,000"
3509321866,LAGOON WATER LOGISTICS LLC,24110,CDW,LOGAN SWD,1806280032,5/10/2018,MAJOR,36.2255700,-98.8874100,"2,600","19,999"
3509322070,COMANCHE EXPLORATION CO LLC,20631,2D,OVIATT,1906900039,2/11/2019,MAJOR,36.1912420,-98.7937000,"2,987","10,000"
3509325082,COMANCHE EXPLORATION CO LLC,20631,2D,ELWELL ,1808300021,3/15/2018,MAJOR,36.1862340,-98.8182300,"3,223","10,000"
3509325111,OKLAHOMA PRODUCED WATER SOLUTIONS LLC,24285,CDW,FLYING MONKEY SWD,1905230007,1/4/2019,MAJOR,36.2886870,-98.1350900,"3,000","19,900"
3509325131,STACK WATER SOLUTIONS LLC,24142,2D,STACK WATER,1806620034,5/15/2018,MAJOR,36.3026000,-98.4814000,"3,500","19,500"
3509325145,COMANCHE EXPLORATION CO LLC,20631,2D,THOMPSON SWD,1900190032,8/18/2018,MAJOR,36.1937000,-98.8129000,"2,975","10,000"
3510120520,OKLAHOMA CRUDE INC,21405,2R,COLE,1802100015,2/1/2018,MUSKOGEE,35.7958120,-95.6801900,500,500
3510121636,C & T ENERGY LLC,20636,2D,AUSTIN-WHITE ,1903490056,11/1/2018,MUSKOGEE,35.6902640,-95.6519100,500,800
3510322731,BEREXCO LLC,22550,2D,HENN,1904160011,11/13/2018,NOBLE,36.1765352,-97.4305212,"1,500","4,999"
3510324731,BLAKE PRODUCTION COMPANY INC,18119,2D,THEDFORD ,1810540008,5/29/2018,NOBLE,36.2310900,-97.3653900,"1,600","19,999"
3510723393,PORTER OIL AND GAS INC,21524,2D,HIGGINS,1806970027,2/23/2018,OKFUSKEE,35.4667000,-96.1875800,300,500
3510723451,SALSAM LLC,24254,2R,STAFFORD RANCH ,1803980046,2/9/2018,OKFUSKEE,35.4940060,-96.1099910,0,"1,000"
3510723502,C & C PRODUCTIONS LLC,22829,2D,PETTIGREW,1804940015,6/29/2018,OKFUSKEE,35.5122500,-96.4230300,"1,000","1,000"
